credits,dept_num,instructor,keyword,session,term,title,university
3,BUSI 305 003,"Naranjo Olivares, Patricia L.",account,Full Term,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,BUSI 305 004,"Naranjo Olivares, Patricia L.",account,Full Term,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,MACC 501 001,"Windsor, Duane
Butler, Lee Ann E.",account,MBA Full Term Fall,Fall Semester 2017,ETHICS IN ACCOUNTING,rice university
1.5,MACC 514 001,"Ramesh, Krishnamoorthy",account,MBA ILE 1,Fall Semester 2017,FAIR VALUE ACCOUNTING,rice university
1.5,MACC 581 001,"Fralic, Bradley W.",account,MBA Term II,Fall Semester 2017,GOVT AND NFP ACCOUNTING,rice university
3,MGMP 501 001,"Lansford, Benjamin N.",account,PMBA First Year 2,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,MGMP 501 002,"Lansford, Benjamin N.",account,PMBA First Year 2,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
1.5,MGMP 602 001,"Wang, Sol S.",account,MBA Term II,Fall Semester 2017,ACCOUNTING-BASED VALUATION,rice university
1.5,MGMP 602 002,"Wang, Sol S.",account,EMBA Term IV,Fall Semester 2017,ACCOUNTING-BASED VALUATION,rice university
3,MGMT 501 001,"Akins, Brian K.",account,MBA Full Term Fall,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,MGMT 501 002,"Akins, Brian K.",account,MBA Full Term Fall,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,MGMT 801 001,"Rountree, Brian R.",account,EMBA Term I,Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,MGMW 501 001,"Dharan, Bala G.",account,PMBA First Year 3 (Weekend),Fall Semester 2017,FINANCIAL ACCOUNTING,rice university
3,ENGL 200 001,"Browning, Logan D.",critic,Full Term,Fall Semester 2017,CRITICAL READING AND WRITING,rice university
3,ENGL 200 002,"Choate, Evan W.",critic,Full Term,Fall Semester 2017,CRITICAL READING AND WRITING,rice university
3,ENGL 200 003,"Joseph, Betty",critic,Full Term,Fall Semester 2017,CRITICAL READING AND WRITING,rice university
1,LPAP 195 001,"Councill, Cathryn A.",critic,CTIS 2,Fall Semester 2017,CRITICAL THINKING IN SEXUALITY,rice university
1,LPAP 195 002,"Vogt, Allison M.",critic,CTIS 2,Fall Semester 2017,CRITICAL THINKING IN SEXUALITY,rice university
1,LPAP 195 003,"Vogt, Allison M.",critic,CTIS 2,Fall Semester 2017,CRITICAL THINKING IN SEXUALITY,rice university
3,ASIA 353 001,"Santoso, Lie Philip",democra,Full Term,Fall Semester 2017,EAST ASIAN DEMOCRACIES,rice university
3,PLST 303 001,"Emden, Christian J.",democra,Full Term,Fall Semester 2017,HOW DEMOCRACY FAILS,rice university
3,POLI 353 001,"Santoso, Lie Philip",democra,Full Term,Fall Semester 2017,EAST ASIAN DEMOCRACIES,rice university
2,MGMT 643 001,"Foote, Jill",equit,MBA Full Term Fall,Fall Semester 2017,EQUITY PRACTICUM I WRIGHT FUND,rice university
2,MGMT 644 001,"Foote, Jill",equit,MBA Full Term Fall,Fall Semester 2017,EQUITY PRACTICUM II WRIGHT FND,rice university
3,ANTH 349 001,"Faubion, James D.",ethic,Full Term,Fall Semester 2017,THE ANTHROPOLOGY OF ETHICS,rice university
3,ANTH 549 001,"Faubion, James D.",ethic,Full Term,Fall Semester 2017,THE ANTHROPOLOGY OF ETHICS,rice university
3,MACC 501 001,"Windsor, Duane
Butler, Lee Ann E.",ethic,MBA Full Term Fall,Fall Semester 2017,ETHICS IN ACCOUNTING,rice university
3,PHIL 306 001,"Sher, George",ethic,Full Term,Fall Semester 2017,ETHICS,rice university
3,PHIL 326 001,"Yao, Vida",ethic,Full Term,Fall Semester 2017,HISTORY OF ETHICS,rice university
3,SMGT 350 001,"Haptonstall, Clark D.",ethic,Full Term,Fall Semester 2017,SPORT ETHICS,rice university
3,AFSC 401 001,,fair,Full Term,Fall Semester 2017,NATIONAL SECURITY AFFAIRS I,rice university
3,GERM 326 001,"Weissenberger, Klaus H.",fair,Full Term,Fall Semester 2017,GERMAN FAIRY TALE: OLD & NEW,rice university
1 TO 6,GLBL 519 001,"Jones, Mark P.",fair,Full Term,Fall Semester 2017,MASTER GLOBAL AFFAIRS INTRNSHP,rice university
3,GLBL 520 001,"Jones, Mark P.",fair,Full Term,Fall Semester 2017,MASTER GLOBAL AFFAIRS CAPSTONE,rice university
