,title,dept_num,description,credits,instructor,syllabus,university,term,keyword
13,Information Technology in Accounting,142A,"(Formerly numbered 142.) Lecture, seven and one half hours. Not open to freshmen. Introduction to role and use of models and modeling in managerial decision making, with focus on important types of models, their formulation and application, and insight and information that may be gained from use of modeling. Enables managers to understand role of quantitative models in firms that are most often applicable in business planning and decision making. Discussion of applications in area of accounting, finance, marketing, and operations, with emphasis on model formulation, interpretation of solutions, and understanding of mathematical versus verbal explanation of situations. Use of solution techniques and computer to solve problems. Offered in summer only. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"account,technolog"
14,"Communication Technology, Programming, and Accounting",142B,"Lecture, six hours. Preparation: intermediate Excel user. Requisite: course 142A (or former 142). Not open to freshmen. Hands-on experience in accounting uses of Microsoft Excel. Topics include creating data boxes in financial accounting, using multiple sheets with Excel formulas, preparing professional quality financial reports, creating graphs to interpret business results, and using Excel functions to evaluate accounting data. Exploration of utility of QuicBooks and functionality for small businesses. Offered in summer only. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"account,technolog"
215,Ethics and Impact of Technology on Society,181EW,"Lecture, five hours; discussion, three hours; outside study, four hours. Requisite: English Composition 3. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Focuses on changing nature of technology and complex ethical issues that emerge as result in areas such as biotechnology, information technology, nanotechnology, and energy technology. Discussion of nature of these issues; their ethical, legal, and social ramifications; and what society values in relation to these issues. Exploration of philosophy, religion, and natural and social sciences in relation to these issues. Emphasis on research and writing within engineering environments. Writing and revision of about 20 pages total, including two individual technical essays and one team-written research report. Readings address technical issues and writing form. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"ethic,technolog"
540,"Ancient and Historic Metals: Corrosion, Technology, and Microstructure",C180,"Seminar, four hours; laboratory, four hours. Overview of technology of ancient metals, aspects of extraction and alloying, corrosion that ancient metals undergo, and how this impacts their preservation. Exploration of knowledge and research work of last two decades that has substantially advanced understanding of processes of extraction, alloying, surface patination, metallic coatings, corrosion, and microstructure. Laboratory work in preparation and examination of metallic samples under microscope, as well as lectures on technology of metallic works of art. Discussion of phase and stability diagrams of common alloying systems and environments. Metallographic study samples represent Bronze Age Europe, Renaissance Europe, China from Warring States to Tang dynasty, Japanese swordmaking, Indian high-tin bronze alloys, bronzes, Peruvian, Colombian, Costa Rican, and Panamanian copper and gold-copper alloys. Concurrently scheduled with course C280. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
542,"Ancient and Historic Metals: Corrosion, Technology and Microstructure",C280,"Seminar, four hours; laboratory, four hours. Overview of technology of ancient metals, aspects of extraction and alloying, corrosion that ancient metals undergo, and how this impacts their preservation. Exploration of knowledge and research work of last two decades that has substantially advanced understanding of processes of extraction, alloying, surface patination, metallic coatings, corrosion, and microstructure. Laboratory work in preparation and examination of metallic samples under microscope, as well as lectures on technology of metallic works of art. Discussion of phase and stability diagrams of common alloying systems and environments. Metallographic study samples represent Bronze Age Europe, Renaissance Europe, China from Warring States to Tang dynasty, Japanese swordmaking, Indian high-tin bronze alloys, bronzes, Peruvian, Colombian, Costa Rican, and Panamanian copper and gold-copper alloys. Concurrently scheduled with course C180. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
780,Introduction to Historical Practice: Variable Topics in History of Science/Technology,97I,"Seminar, three hours. Discussion classes of no more than 15 students. Introduction to study of history, with emphasis on historical theory and research methods. Variable topics courses; consult Schedule of Classes for topics to be offered in specific term. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
943,Variable Topics Historiography Proseminar: Science/Technology,187I,"Seminar, three hours. Proseminar on historiography involving close reading and critical discussion of secondary scholarship and primary sources on selected topics. Reading, discussion, and analytical writing culminating in one or several historiographical essays. May be repeated once for credit. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
958,Capstone Seminar: History--Science/Technology,191I,"Seminar, three hours. Designed for seniors. Limited to 15 students meeting with faculty member. Organized on topics basis with reading, discussion, and development of culminating project. May be repeated once for credit. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
987,Advanced Historiography: Science/Technology,200O,"Seminar, three hours. May be repeated for credit.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
1013,Topics in History: Science/Technology,201O,"Seminar, three hours. Graduate course involving reading, lecturing, and discussion of selected topics. May be repeated for credit. When concurrently scheduled with course 191, undergraduates must obtain consent of instructor to enroll. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,"histor,technolog"
