,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
13,Information Technology in Accounting,142A,"(Formerly numbered 142.) Lecture, seven and one half hours. Not open to freshmen. Introduction to role and use of models and modeling in managerial decision making, with focus on important types of models, their formulation and application, and insight and information that may be gained from use of modeling. Enables managers to understand role of quantitative models in firms that are most often applicable in business planning and decision making. Discussion of applications in area of accounting, finance, marketing, and operations, with emphasis on model formulation, interpretation of solutions, and understanding of mathematical versus verbal explanation of situations. Use of solution techniques and computer to solve problems. Offered in summer only. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,account,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=account&funsel=1,inform
14,"Communication Technology, Programming, and Accounting",142B,"Lecture, six hours. Preparation: intermediate Excel user. Requisite: course 142A (or former 142). Not open to freshmen. Hands-on experience in accounting uses of Microsoft Excel. Topics include creating data boxes in financial accounting, using multiple sheets with Excel formulas, preparing professional quality financial reports, creating graphs to interpret business results, and using Excel functions to evaluate accounting data. Exploration of utility of QuickBooks and functionality for small businesses. Offered in summer only. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,account,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=account&funsel=1,program
55,Critical Discourse Analytic Methods,259,"Seminar, three hours. Limited to departmental graduate students. Two critical discourse analytic (CDA) methods taught to document language of public figures. Student teams employ one method (conceptual metaphor CDA or discourse historical approach) to analyze actual public official's own discourse surrounding one controversial issue. Empirical study of discourses that are based on independently developed research enterprises can be valuable tool for variety of graduate student research. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,critic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=critic&funsel=1,analyt
217,Ethics and Impact of Technology on Society,181EW,"Lecture, five hours; discussion, three hours; outside study, four hours. Requisite: English Composition 3. Not open for credit to students with credit for course 182EW, 183EW, or 185EW. Focuses on changing nature of technology and complex ethical issues that emerge as result in areas such as biotechnology, information technology, nanotechnology, and energy technology. Discussion of nature of these issues; their ethical, legal, and social ramifications; and what society values in relation to these issues. Exploration of philosophy, religion, and natural and social sciences in relation to these issues. Emphasis on research and writing within engineering environments. Writing and revision of about 20 pages total, including two individual technical essays and one team-written research report. Readings address technical issues and writing form. Satisfies engineering writing requirement. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,ethic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=ethic&funsel=1,technolog
222,"Ethics, Diversity, and Change in Information Professions",201,"Lecture, two hours; discussion, two hours. Service learning course that serves as forum to discuss, learn, and understand ethical challenges of multicultural information society that shape societal, professional community, and individual views and impact professional practice, decision making, and public policy. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,ethic,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=ethic&funsel=1,inform
274,Program Development and Planning in Student Affairs,416,"Lecture, two hours; discussion, two hours. Planning of programs that provide or support learning for individuals and groups in student affairs context. Examination of philosophical foundations of program planning, along with pedagogical and logistical dimensions of program development. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,fair,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=fair&funsel=1,program
275,Program Evaluation and Assessment in Student Affairs,417,"Lecture, two hours; discussion, two hours. Introduction to assessment and program evaluation in context of student affairs and higher education. Examination of usefulness and appropriateness of various program evaluation methodologies and theories of assessment practice. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,fair,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=fair&funsel=1,program
278,Program Development and Program Evaluation in Student Affairs,426A,"Lecture, two hours. Introduction to program development and planning, as well as to assessment and program review. Development of knowledge of and skill in planning educational and training programs that provide support for learning within context of student affairs, as well as knowledge of and skill in developing, implementing, and analyzing assessment projects within student affairs context. Study of basic theoretical perspectives underlying program design/implementation and program review/assessment and application by developing, implementing, and assessing effectiveness of one program. In Progress grading (credit to be given only on completion of course 426B).",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,fair,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=fair&funsel=1,program
279,Program Development and Program Evaluation in Student Affairs,426B,"Lecture, two hours. Introduction to program development and planning, as well as to assessment and program review. Development of knowledge of and skill in planning educational and training programs that provide support for learning within context of student affairs, as well as knowledge of and skill in developing, implementing, and analyzing assessment projects within student affairs context. Study of basic theoretical perspectives underlying program design/implementation and program review/assessment and application by developing, implementing, and assessing effectiveness of one program. Letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,fair,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=fair&funsel=1,program
334,Selected Topics in Gender Systems,M145Q,"(Formerly numbered 154P.) (Same as Gender Studies M154Q.) Lecture, three hours. Recommended preparation: prior anthropology or gender studies courses. Designed for junior/senior social sciences majors. Comparative study of women's lives and gender systems and cultures from anthropological perspective. Critical review of relevant theoretical issues using ethnography, case study, and presentations. Consult Schedule of Classes for topics and instructors. May be repeated for credit with topic change. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
338,Gender Systems,M243,"(Formerly numbered M263P.) (Same as Gender Studies M263.) Seminar, three hours. Current theoretical developments in understanding gender systems cross-culturally, with emphasis on relationship between systems of gender, economy, ideational systems, and social inequality. Selection of ethnographic cases from recent literature. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,gender,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=gender&funsel=1,system
