credits,dept_num,instructor,keyword,term,title,university
3,ACC 231,Cook,account,Spring 2018,Uses of Accounting Info I,arizona state university-tempe
3,ACC 231,Wolfe,account,Spring 2018,Uses of Accounting Info I,arizona state university-tempe
3,ACC 231,Wolfe,account,Spring 2018,Uses of Accounting Info I,arizona state university-tempe
3,ACC 231,Wolfe,account,Spring 2018,Uses of Accounting Info I,arizona state university-tempe
3,ACC 232,Srinivasan,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 232,Shields,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 232,Srinivasan,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 232,Srinivasan,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 232,Shields,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 232,Shields,account,Spring 2018,Financial Accounting I,arizona state university-tempe
3,ACC 241,Geiger,account,Spring 2018,Uses of Accounting Info II,arizona state university-tempe
3,ACC 241,Geiger,account,Spring 2018,Uses of Accounting Info II,arizona state university-tempe
3,ACC 241,Geiger,account,Spring 2018,Uses of Accounting Info II,arizona state university-tempe
3,ACC 261,Fox,account,Spring 2018,Honors Fund of Fin Accounting,arizona state university-tempe
3,ACC 261,Fox,account,Spring 2018,Honors Fund of Fin Accounting,arizona state university-tempe
3,ACC 271,Anderson,account,Spring 2018,Honors Fund of Mgr Accounting,arizona state university-tempe
3,ACC 360,Samuelson,account,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 360,Samuelson,account,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 360,Samuelson,account,Spring 2018,Ethics for Prof Accountants,arizona state university-tempe
3,ACC 503,Hillegeist,account,Spring 2018,Managerial Accounting,arizona state university-tempe
2.5,ACC 503,Hillegeist,account,Spring 2018,Managerial Accounting,arizona state university-tempe
2.5,ACC 503,Hillegeist,account,Spring 2018,Managerial Accounting,arizona state university-tempe
3,ACC 513,Huang,account,Spring 2018,Advanced Financial Accounting,arizona state university-tempe
3,ARS 514,Schleif,critic,Spring 2018,Critical Approach/Romanesque,arizona state university-tempe
1-12,ARS 700,Brown,critic,Spring 2018,"Topic: History, Theory and Criticism of Art",arizona state university-tempe
3,CEE 598,Abbaszadegan,critic,Spring 2018,Topic: Critical Analysis in Environ Engin and Science,arizona state university-tempe
3,COM 407,Flores,critic,Spring 2018,Adv Critical Methods in Comm,arizona state university-tempe
3,COM 407,Dutta,critic,Spring 2018,Adv Critical Methods in Comm,arizona state university-tempe
3,ENG 200,Quintero,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Quintero,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Carlisle,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Ellis,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Bivona,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Ellis,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Johnston,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 200,Baldini,critic,Spring 2018,Critical Reading & Writing/Lit,arizona state university-tempe
3,ENG 400,Sturges,critic,Spring 2018,History of Literary Criticism,arizona state university-tempe
3,ENG 468,Adamson,critic,Spring 2018,Environmntl Literary Criticism,arizona state university-tempe
3,EPA 565,Judson,critic,Spring 2018,"Critical Topics in Ed Policy
(SEM)",arizona state university-tempe
3,HST 304,"Damask, Valle",critic,Spring 2018,Topic: Marxism and Its Critics,arizona state university-tempe
3,LIN 616,Adams,critic,Spring 2018,Topic: Multimodal and Critical Discourse Analysis,arizona state university-tempe
3,MUS 213,Buckner,critic,Spring 2018,Critical Thinking in the Arts,arizona state university-tempe
3,REL 394,Haines,critic,Spring 2018,Topic: Global Citizenship: Critical Perspective,arizona state university-tempe
3,SES 494,Heimsath,critic,Spring 2018,Topic: Critical Zone Research,arizona state university-tempe
3,SGS 394,Haines,critic,Spring 2018,Topic: Global Citizenship: Critical Perspectives,arizona state university-tempe
3,SLC 545,Foster,critic,Spring 2018,Concepts of Literary Criticism,arizona state university-tempe
3,SPA 545,Foster,critic,Spring 2018,Concepts of Literary Criticism,arizona state university-tempe
3,THE 504,Hunt,critic,Spring 2018,"Studies/DramaticThry/Criticism
(SEM)",arizona state university-tempe
3,THE 505,Hunt,critic,Spring 2018,"Topic: Studies in Dramatic Theatre/Critic
(SEM)",arizona state university-tempe
3,UNI 110,Dearman,critic,Spring 2018,Critical Reading and Thinking,arizona state university-tempe
3,UNI 110,Holden,critic,Spring 2018,Critical Reading and Thinking,arizona state university-tempe
3,AFR 355,Aubrey,democra,Spring 2018,Democracy/Civil Society/Africa,arizona state university-tempe
3,HST 112,"Critchlow, Strand",democra,Spring 2018,Foundations of Democracy,arizona state university-tempe
3,JUS 691,Lee,democra,Spring 2018,"Topic: Democracy, Citizenship, and Globalization",arizona state university-tempe
1,LIA 194,Pout,democra,Spring 2018,Topic: Discovery Seminar: Brexit & Democracy,arizona state university-tempe
1,LIA 194,Boyles,democra,Spring 2018,Topic: Discovery Seminar: Geek out for Democracy,arizona state university-tempe
3,POS 112,"Critchlow, Strand",democra,Spring 2018,Foundations of Democracy,arizona state university-tempe
3,POS 346,Lennon,democra,Spring 2018,Problems of Democracy,arizona state university-tempe
3,POS 351,Shair-Rosenfield,democra,Spring 2018,Democratization,arizona state university-tempe
3,POS 352,Bustikova-Siroky,democra,Spring 2018,European Democracies,arizona state university-tempe
3,AFR 352,Shabazz Sanders,equal,Spring 2018,RaceSpace&ProductionInequality,arizona state university-tempe
3,APA 352,Shabazz Sanders,equal,Spring 2018,RaceSpace&ProductionInequality,arizona state university-tempe
