,title,dept_num,description,credits,instructor,syllabus,university,term,keyword
251, Science and Technology Policy,EURO   4330,"The purpose of this course is to introduce the Science and Technology Policy of the European Union (EU).  This is an introductory course about the history, goals, and issues of the EU related to science, industry, and technology. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,"polic,technolog"
560," Technology, Society and Human Values",PHIL   3200," A philisophical exploration of the formative impact of technology on the character of modern culture and human values.  The study of competing descriptions and definitions of technology as well as questions regarding effective human control of technology, the moral neutrality of technology, and the effects of technology on conceptual paradigms, language, politics, economics, sciences, education, art,and religion. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,"societ,technolog"
561," Technology, Society and Human Values",PHIL   3200," A philisophical exploration of the formative impact of technology on the character of modern culture and human values.  The study of competing descriptions and definitions of technology as well as questions regarding effective human control of technology, the moral neutrality of technology, and the effects of technology on conceptual paradigms, language, politics, economics, sciences, education, art,and religion. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,"valu,technolog"
1092, Science and Technology Policy,EURO   4330,"The purpose of this course is to introduce the Science and Technology Policy of the European Union (EU).  This is an introductory course about the history, goals, and issues of the EU related to science, industry, and technology. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2018-19,"polic,technolog"
1386," Technology, Society and Human Values",PHIL   3200," A philisophical exploration of the formative impact of technology on the character of modern culture and human values.  The study of competing descriptions and definitions of technology as well as questions regarding effective human control of technology, the moral neutrality of technology, and the effects of technology on conceptual paradigms, language, politics, economics, sciences, education, art,and religion. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2018-19,"societ,technolog"
1387," Technology, Society and Human Values",PHIL   3200," A philisophical exploration of the formative impact of technology on the character of modern culture and human values.  The study of competing descriptions and definitions of technology as well as questions regarding effective human control of technology, the moral neutrality of technology, and the effects of technology on conceptual paradigms, language, politics, economics, sciences, education, art,and religion. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2018-19,"valu,technolog"
79, Enterprise Infrastructure and Security,CISM   3134,"An overview of the technology and management of the components that comprise today’s enterprise IT infrastructure, including its hardware, software, and networks. The course covers network architectures and protocols for the Internet including mobile and cloud computing, and discusses the pertinent security considerations.
",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,secur
80, Principles of Enterprise Information Systems Security,CISM   3331,"An introduction to the various policy, administration, management, and technical aspects of information systems security across the enterprise. This course provides the foundation for understanding key policies and issues associated with protecting information assets; designing a consistent, reasonable information security system; identifying alternatives for determining the necessary levels of protection; and developing and administering appropriate responses to security incidents. Included are design issues for appropriate intrusion detection, disaster incidents, and reporting for various enterprise networking infrastructures. ","3 Credit Hours.   0,2 Lecture Hours.   0,1 Lab Hours.",Not Listed,Not Listed,Georgia Southern University,2019-20,secur
120," Indust, Commer & Private Secur",CRJU   3220," History, development, and analysis of privately employed police and security in the U.S.  Topics include an analysis of public vs. private agencies, types (contract and proprietary), and components (physical, information and personnel) of private security.  Special emphasis on the functions, strengths, and problems encountered by privatized agencies. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,secur
133, Issues in Homeland Security,CRJU   3931,"Explores the legal, practical, and ethical challenges that accompany efforts to secure the homeland against major twenty-first threats such as terrorism and cyber-terrorism. Course topics may include but not be limited to: threat assessment, crisis response, incident prevention, and the need to reconcile governmental strategies for disrupting attacks on the homeland with the imperative of protecting civil liberties. ",3 Credit Hours.   3 Lecture Hours.   0 Lab Hours.,Not Listed,Not Listed,Georgia Southern University,2019-20,secur
