,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL
174, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/education/teacher-education/edci-616
569, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/education/teacher-education/edci-616
820," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/journalism/jour-573
1186, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"philosoph,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/philosophy-religion/phil-340
1365," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"polic,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-386
1440," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-321
1452," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-411
1706, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/education/teacher-education/edci-616
1957," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/journalism/jour-573
2323, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"philosoph,technolog",https://catalog.olemiss.edu/liberal-arts/philosophy-religion/phil-340
2502," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"polic,technolog",https://catalog.olemiss.edu/liberal-arts/public-policy-leadership/ppl-386
2577," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-321
2589," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/liberal-arts/sociology-anthropology/soc-411
2842, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/education/teacher-education/edci-616
3094," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/journalism/jour-573
3460, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"philosoph,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/philosophy-religion/phil-340
3640," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"polic,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/public-policy-leadership/ppl-386
3717," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/sociology-anthropology/soc-321
3729," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2019,"societ,technolog",https://catalog.olemiss.edu/2019/spring/liberal-arts/sociology-anthropology/soc-411
3920, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/education/teacher-education/edci-616
4171," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/journalism/jour-573
4537, Philosophy of Technology,Phil 340,"This course will examine philosophical issues raised by the role of
technology in human life.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"philosoph,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/philosophy-religion/phil-340
4716," Science, Technology, & Public Policy",PPL 386,"Examination of factors which shape public policy decisions in
area of science and technology.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"polic,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/public-policy-leadership/ppl-386
4791," Science, Technology and Society",Soc 321,"An examination of the nature of relationships that exist between the
development of a civilization and science as a concept and as a method,
combined with technology as a series of engineering discoveries and
inventions.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-321
4803," Environment, Technology and Society",Soc 411,"This course will explore the ways people relate to their
natural environments.  Topics may include economic production
and consumption, culture and knowledge, mass media and
environmental justice.",3 Credits,Not Listed,Not Listed,University of Mississippi,Spring 2020,"societ,technolog",https://catalog.olemiss.edu/2020/spring/liberal-arts/sociology-anthropology/soc-411
5057, Science Technology Society in Classroom,Edci 616,"The interrelationships among trends, issues, and strategies in teaching
science, technology, and society (STS) will be explored.  Students will
research, discuss, and critique approaches to teaching STS as well as
plan and evaluate different learning strategies.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/education/teacher-education/edci-616
5308," Mass Comm, Technology, and Society",Jour 573,"The theory of mass communications technology in relation to media
functions, responsibilities, and influence in society.",3 Credits,Not Listed,Not Listed,University of Mississippi,Fall 2020,"societ,technolog",https://catalog.olemiss.edu/journalism/jour-573
