,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
1,  ACCOUNTING INFORMATION MANAGEMENT,ACTG 378,"Introduces students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, the system life cycle model, systems analysis and design methodologies, and the development and implementation of information systems. Lec/rec.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,account,https://catalog.oregonstate.edu/courses/actg/,inform
2,  ACCOUNTING INFORMATION MANAGEMENT,ACTG 378H,"Introduces students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, the system life cycle model, systems analysis and design methodologies, and the development and implementation of information systems. Lec/rec. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,account,https://catalog.oregonstate.edu/courses/actg/,inform
3,  ACCOUNTING ANALYTICS,ACTG 379,Covers the analysis of data as it pertains to accounting professionals. The focuses include analytic techniques for decision making and the examination of “big data” involving accounting information. Hands-on experiences will develop skills with select software tools used in data analytics for accounting professionals. ,4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,account,https://catalog.oregonstate.edu/courses/actg/,analyt
8,  ACCOUNTING CODES OF PROFESSIONAL CONDUCT AND ETHICAL BEHAVIOR,ACTG 418,"Explores ethical reasoning, integrity, objectivity, independence and other core values as defined by the American Institute of Certified Public Accountants. ",2 Credits,Not Listed,Not Listed,Oregon State University,2019-20,account,https://catalog.oregonstate.edu/courses/actg/,code
9,  ACCOUNTING CODES OF PROFESSIONAL CONDUCT AND ETHICAL BEHAVIOR,ACTG 418,"Explores ethical reasoning, integrity, objectivity, independence and other core values as defined by the American Institute of Certified Public Accountants. ",2 Credits,Not Listed,Not Listed,Oregon State University,2019-20,ethic,https://catalog.oregonstate.edu/courses/actg/,code
20,  PROGRAM EVALUATION,AHE 532,"Assessing outcomes in college curriculum and workplace training programs from a systems perspective and evaluation of program effectiveness. Particular emphasis on formative and summative evaluation, frameworks for program evaluation, quantitative and qualitative methods and analysis, communicating and reporting evaluation findings, and the ethics and standards of evaluation practice.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,valu,https://catalog.oregonstate.edu/courses/ahe/,program
32,  NATIONAL SECURITY AFFAIRS,AS 411,"Emphasis on the needs for national security, evolution of American defense strategy, policy, and organization. Examination of methods for managing conflict, alliances and regional security to preserve American interests. Arms control, terrorism, and current military issues will also be addressed. Refinement of oral and written communication skills will be assessed.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/as/,
33,  INSTRUMENTATION AND DATA COLLECTION IN SOCIAL SCIENCE,AED 640,"Addresses the selection, development, and analysis of various types of quantitative instruments and procedures for collecting research data. The course has a quantitative focus and is oriented toward social science research. Lec/lab.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/aed/,data
39,"  *EVOLUTION OF PEOPLE, TECHNOLOGY, AND SOCIETY",ANTH 330,"Overview of the evolution and prehistory of the human species, including the development and interaction of human biology, technology, and society. (SS) (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,societ,https://catalog.oregonstate.edu/courses/anth/,technolog
88,"  *PHOTOGRAPHY: HISTORY, TECHNOLOGY, CULTURE AND ART",ART 264,"Introduction to the history of photography through aesthetic, cultural and technical contexts. This course covers the history of photography and its technologies, photography in art, some photographers and their photographs and the purposes of photography. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,histor,https://catalog.oregonstate.edu/courses/art/,technolog
123,  *ENERGY TECHNOLOGY AND SOCIAL CHANGE,BRR 325,Science and technology co-evolve with a prosperous human society. The course discusses key issues surrounding the interaction between social changes and energy technologies. (Bacc Core Course)  ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/brr/,technolog
150,  INFORMATION SYSTEMS SECURITY,BA 480,"Course emphasis is on security risk mitigation methods and procedures such as access control, identity management, intrusion prevention and detection, network and physical security, etc. These and other topics will be placed in both the operational and strategic context of the business. The course also addresses several IS governance and IS security frameworks within which the various security concepts, aspects, policies and procedures can be viewed and discussed.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ba/,inform
151,  INFORMATION SECURITY GOVERNANCE,BA 482,"As a discipline cybersecurity covers software, hardware, networking, systems, individuals, organizations and applicable policies, laws and standards, among others. Given societies’ dependence on the security of global infrastructure and the increasing complexity of maintaining the security of those systems, there is a growing need for an interdisciplinary approach to study this topic. This course introduces several well-regarded and well-used IT and IT security governance frameworks which can be used to apply and govern security policies and protocols in organizations. The course also delves into SOC IT auditing. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,govern,https://catalog.oregonstate.edu/courses/ba/,inform
152,  INFORMATION SECURITY GOVERNANCE,BA 482,"As a discipline cybersecurity covers software, hardware, networking, systems, individuals, organizations and applicable policies, laws and standards, among others. Given societies’ dependence on the security of global infrastructure and the increasing complexity of maintaining the security of those systems, there is a growing need for an interdisciplinary approach to study this topic. This course introduces several well-regarded and well-used IT and IT security governance frameworks which can be used to apply and govern security policies and protocols in organizations. The course also delves into SOC IT auditing. ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/ba/,inform
156,  BUSINESS LAW - TECHNOLOGY/NEW VENTURES,BA 531,"An integrative course on managing legal and ethical issues for new ventures. Focuses on business law for founders of start-up companies including formation of new business entities, protecting intellectual property, workforce management and global issues. Topics presented from an entrepreneurial perspective and include technology law, e-commerce law and government regulation. Students develop skills to identify and resolve legal and ethical issues, deal with administrative agencies, and proactively manage legal liability. Considerations of ethics and corporate responsibility are emphasized.  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,law,https://catalog.oregonstate.edu/courses/ba/,technolog
166,"  TRANSPORTATION SYSTEMS ANALYSIS, PLANNING, AND POLICY",CE 591,The systems approach and its applications to transportation engineering and planning. The making of transportation plans and policies. Development of transportation models. Transportation system performance. Decision analysis. Evaluation of transportation projects. Environmental and social impacts of transportation.  ,3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,polic,https://catalog.oregonstate.edu/courses/ce/,system
186,  *COMMUNICATIONS SECURITY AND SOCIAL MOVEMENTS,CS 175,"Equipping students with the theory and practice of communications security, this course explores how social movements can remain effective in the context of mass surveillance and state repression. Lec/rec. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/cs/,
188,  INTRODUCTION TO SECURITY,CS 370,"Introductory course on computer security with the objective to introduce concepts and principles of computer systems security. Notions of security, basic crytographic primitives and their application, basics of authentication and access control, basics of key-management, basics of malware and software security.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/cs/,
189,  *SOCIAL AND ETHICAL ISSUES IN COMPUTER SCIENCE,CS 391,"In-depth exploration of the social, psychological, political, and ethical issues surrounding the computer industry and the evolving information society. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,ethic,https://catalog.oregonstate.edu/courses/cs/,comput
190,  *SOCIAL AND ETHICAL ISSUES IN COMPUTER SCIENCE,CS 391,"In-depth exploration of the social, psychological, political, and ethical issues surrounding the computer industry and the evolving information society. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/cs/,comput
191,  *SOCIAL AND ETHICAL ISSUES IN COMPUTER SCIENCE,CS 391H,"In-depth exploration of the social, psychological, political, and ethical issues surrounding the computer industry and the evolving information society. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,ethic,https://catalog.oregonstate.edu/courses/cs/,comput
192,  *SOCIAL AND ETHICAL ISSUES IN COMPUTER SCIENCE,CS 391H,"In-depth exploration of the social, psychological, political, and ethical issues surrounding the computer industry and the evolving information society. (Bacc Core Course)  ",3 Credits,Not Listed,Not Listed,Oregon State University,2019-20,social,https://catalog.oregonstate.edu/courses/cs/,comput
193,  NETWORK SECURITY,CS 478,"Basic concepts and techniques in network security, risks and vulnerabilities, applied cryptography and various network security protocols. Coverage of high-level concepts such as authentication, confidentiality, integrity, and availability applied to networking systems. Fundamental techniques including authentication protocols, group key establishment and management, trusted intermediaries, public key infrastructures, SSL/TLS, IPSec, firewalls and intrusion detection CROSSLISTED as ECE 478.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/cs/,
194,  CYBER-SECURITY,CS 578,"A broad overview of the field of computer and network security. Essential cryptographic mechanisms such as symmetric and public-key cryptography (e.g., encryption, signatures), network security and authentication protocols (e.g., Kerberos, TLS, IPSec), system security (e.g., access control, firewalls), advanced topics (e.g., searchable encryption, cloud security, secure computation). CROSSLISTED as ECE 578.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,secur,https://catalog.oregonstate.edu/courses/cs/,cyber
253,  POWER SYSTEM ANALYSIS,ECE 433,"Fundamentals and control of real and reactive power, steady-state load flow studies, unbalance, stability and transient system analysis.  ",4 Credits,Not Listed,Not Listed,Oregon State University,2019-20,power,https://catalog.oregonstate.edu/courses/ece/,system
